"id","gu_code","시군구명","연료_코드","연료명","용도별_코드","용도별","승용","승합","화물","특수","계"
222,11545,금천구,h,휘발유(무연),2,비사업용,30069,15,48,0,30132
223,11380,은평구,m,하이브리드(경유+전기),1,사업용,1,0,0,0,1
224,11230,동대문구,z,기타연료,2,비사업용,3,38,142,41,224
225,11170,용산구,n,하이브리드(LPG+전기),1,사업용,1,0,0,0,1
226,11380,은평구,l,하이브리드(휘발유+전기),2,비사업용,12068,20,41,2,12131
227,11230,동대문구,z,기타연료,1,사업용,0,0,5,0,5
228,11170,용산구,m,하이브리드(경유+전기),2,비사업용,231,0,0,0,231
229,11380,은평구,l,하이브리드(휘발유+전기),1,사업용,79,0,1,0,80
230,11545,금천구,h,휘발유(무연),1,사업용,533,0,0,0,533
231,11170,용산구,m,하이브리드(경유+전기),1,사업용,32,0,0,0,32
232,11380,은평구,a,휘발유,2,비사업용,21511,10,99,3,21623
233,11545,금천구,g,휘발유(유연),2,비사업용,32,0,0,0,32
234,11170,용산구,l,하이브리드(휘발유+전기),2,비사업용,7949,18,22,1,7990
235,11380,은평구,a,휘발유,1,사업용,8,0,0,0,8
236,11230,동대문구,q,수소,2,비사업용,73,0,0,0,73
237,11560,영등포구,j,CNG,2,비사업용,8,3,12,0,23
238,11170,용산구,l,하이브리드(휘발유+전기),1,사업용,235,1,0,0,236
239,11380,은평구,h,휘발유(무연),2,비사업용,46708,33,49,1,46791
240,11230,동대문구,q,수소,1,사업용,1,0,0,0,1
241,11560,영등포구,j,CNG,1,사업용,0,59,0,0,59
242,11170,용산구,a,휘발유,2,비사업용,16873,17,78,2,16970
243,11380,은평구,h,휘발유(무연),1,사업용,49,8,0,0,57
244,11230,동대문구,r,수소전기,2,비사업용,11,0,0,0,11
245,11170,용산구,a,휘발유,1,사업용,102,0,0,0,102
246,11560,영등포구,k,LNG,1,사업용,0,0,0,1,1
247,11380,은평구,g,휘발유(유연),2,비사업용,41,0,0,0,41
248,11230,동대문구,c,엘피지,2,비사업용,3900,357,1203,9,5469
249,11560,영등포구,b,경유,2,비사업용,24660,2785,10511,420,38376
250,11410,서대문구,j,CNG,2,비사업용,4,2,4,0,10
251,11230,동대문구,c,엘피지,1,사업용,1754,3,482,2,2241
252,11170,용산구,h,휘발유(무연),2,비사업용,21153,25,30,0,21208
253,11410,서대문구,j,CNG,1,사업용,0,184,0,0,184
254,11230,동대문구,e,전기,2,비사업용,2266,4,313,2,2585
255,11170,용산구,h,휘발유(무연),1,사업용,162,0,0,0,162
256,11230,동대문구,e,전기,1,사업용,272,2,162,0,436
257,11410,서대문구,b,경유,2,비사업용,16492,1472,4573,120,22657
258,11170,용산구,g,휘발유(유연),2,비사업용,17,0,0,0,17
259,11230,동대문구,n,하이브리드(LPG+전기),2,비사업용,26,0,0,0,26
260,11410,서대문구,b,경유,1,사업용,286,88,1412,109,1895
261,11230,동대문구,n,하이브리드(LPG+전기),1,사업용,5,0,0,0,5
262,11560,영등포구,b,경유,1,사업용,103,93,3526,602,4324
263,11230,동대문구,m,하이브리드(경유+전기),2,비사업용,195,0,0,0,195
264,11560,영등포구,z,기타연료,2,비사업용,3,48,217,29,297
265,11200,성동구,j,CNG,2,비사업용,2,8,18,0,28
266,11230,동대문구,m,하이브리드(경유+전기),1,사업용,54,0,0,0,54
267,11560,영등포구,z,기타연료,1,사업용,0,0,134,0,134
268,11200,성동구,j,CNG,1,사업용,0,229,0,0,229
269,11230,동대문구,l,하이브리드(휘발유+전기),2,비사업용,10140,20,32,0,10192
270,11560,영등포구,q,수소,2,비사업용,171,1,0,0,172
271,11200,성동구,b,경유,2,비사업용,18315,1291,6517,158,26281
272,11230,동대문구,l,하이브리드(휘발유+전기),1,사업용,227,0,4,0,231
273,11560,영등포구,r,수소전기,2,비사업용,17,0,0,0,17
274,11200,성동구,b,경유,1,사업용,322,409,1263,150,2144
275,11230,동대문구,a,휘발유,2,비사업용,17316,11,86,2,17415
276,11560,영등포구,c,엘피지,2,비사업용,4349,367,1215,24,5955
277,11410,서대문구,z,기타연료,2,비사업용,2,33,108,25,168
278,11230,동대문구,a,휘발유,1,사업용,277,0,0,0,277
279,11560,영등포구,c,엘피지,1,사업용,1908,29,419,40,2396
280,11410,서대문구,z,기타연료,1,사업용,0,0,38,0,38
281,11560,영등포구,e,전기,2,비사업용,3256,6,446,6,3714
282,11410,서대문구,q,수소,2,비사업용,106,0,0,0,106
283,11560,영등포구,e,전기,1,사업용,316,18,275,0,609
284,11410,서대문구,r,수소전기,2,비사업용,9,0,0,0,9
285,11560,영등포구,n,하이브리드(LPG+전기),2,비사업용,35,0,0,0,35
286,11230,동대문구,h,휘발유(무연),2,비사업용,35544,28,51,1,35624
287,11410,서대문구,c,엘피지,2,비사업용,3084,277,625,10,3996
288,11560,영등포구,n,하이브리드(LPG+전기),1,사업용,36,0,0,0,36
289,11230,동대문구,h,휘발유(무연),1,사업용,82,0,0,0,82
290,11410,서대문구,c,엘피지,1,사업용,2230,12,203,1,2446
291,11560,영등포구,m,하이브리드(경유+전기),2,비사업용,266,0,0,0,266
292,11410,서대문구,e,전기,2,비사업용,2061,13,186,2,2262
293,11230,동대문구,g,휘발유(유연),2,비사업용,32,0,0,0,32
294,11560,영등포구,m,하이브리드(경유+전기),1,사업용,12,0,0,0,12
295,11410,서대문구,e,전기,1,사업용,317,112,108,0,537
296,11410,서대문구,o,하이브리드(CNG+전기),1,사업용,0,2,0,0,2
297,11260,중랑구,j,CNG,2,비사업용,9,2,9,0,20
298,11410,서대문구,n,하이브리드(LPG+전기),2,비사업용,17,0,0,0,17
299,11260,중랑구,j,CNG,1,사업용,0,258,0,0,258
300,11560,영등포구,l,하이브리드(휘발유+전기),2,비사업용,14444,23,39,1,14507
301,11410,서대문구,n,하이브리드(LPG+전기),1,사업용,9,0,0,0,9
302,11260,중랑구,b,경유,2,비사업용,21583,2079,9264,212,33138
303,11650,서초구,e,전기,1,사업용,319,76,220,0,615
304,11560,영등포구,l,하이브리드(휘발유+전기),1,사업용,151,1,2,3,157
305,11410,서대문구,m,하이브리드(경유+전기),2,비사업용,162,0,0,0,162
306,11560,영등포구,a,휘발유,2,비사업용,23922,21,104,0,24047
307,11650,서초구,n,하이브리드(LPG+전기),2,비사업용,25,0,0,0,25
308,11410,서대문구,m,하이브리드(경유+전기),1,사업용,2,0,0,0,2
309,11260,중랑구,b,경유,1,사업용,270,165,1905,306,2646
310,11650,서초구,m,하이브리드(경유+전기),2,비사업용,690,0,0,0,690
311,11560,영등포구,a,휘발유,1,사업용,67,0,1,0,68
312,11260,중랑구,z,기타연료,2,비사업용,2,40,104,25,171
313,11650,서초구,m,하이브리드(경유+전기),1,사업용,36,0,0,0,36
314,11560,영등포구,h,휘발유(무연),2,비사업용,46266,28,62,1,46357
315,11260,중랑구,z,기타연료,1,사업용,0,0,18,0,18
316,11650,서초구,l,하이브리드(휘발유+전기),2,비사업용,23033,32,49,2,23116
317,11560,영등포구,h,휘발유(무연),1,사업용,190,0,2,0,192
318,11410,서대문구,l,하이브리드(휘발유+전기),2,비사업용,9272,23,25,3,9323
319,11260,중랑구,q,수소,2,비사업용,70,0,0,0,70
320,11650,서초구,l,하이브리드(휘발유+전기),1,사업용,414,0,0,0,414
321,11560,영등포구,g,휘발유(유연),2,비사업용,51,0,0,0,51
322,11410,서대문구,l,하이브리드(휘발유+전기),1,사업용,116,2,1,0,119
323,11650,서초구,a,휘발유,2,비사업용,42297,40,146,2,42485
324,11590,동작구,j,CNG,2,비사업용,2,2,5,0,9
325,11410,서대문구,a,휘발유,2,비사업용,15946,11,79,3,16039
326,11650,서초구,a,휘발유,1,사업용,333,1,1,0,335
327,11590,동작구,j,CNG,1,사업용,0,28,0,0,28
328,11260,중랑구,r,수소전기,2,비사업용,5,0,0,0,5
329,11410,서대문구,a,휘발유,1,사업용,14,0,0,0,14
330,11650,서초구,h,휘발유(무연),2,비사업용,51127,34,99,1,51261
331,11590,동작구,b,경유,2,비사업용,19234,1612,5045,117,26008
332,11260,중랑구,c,엘피지,2,비사업용,5446,462,1290,15,7213
333,11410,서대문구,h,휘발유(무연),2,비사업용,30340,26,46,0,30412
334,11650,서초구,h,휘발유(무연),1,사업용,791,0,0,0,791
335,11590,동작구,b,경유,1,사업용,69,86,806,172,1133
336,11260,중랑구,c,엘피지,1,사업용,4444,30,569,17,5060
337,11410,서대문구,h,휘발유(무연),1,사업용,491,0,0,0,491
338,11590,동작구,z,기타연료,2,비사업용,1,32,87,29,149
339,11260,중랑구,e,전기,2,비사업용,1780,3,299,3,2085
340,11410,서대문구,g,휘발유(유연),2,비사업용,29,0,0,0,29
341,11590,동작구,z,기타연료,1,사업용,0,0,5,0,5
342,11260,중랑구,e,전기,1,사업용,721,125,227,0,1073
343,11650,서초구,g,휘발유(유연),2,비사업용,45,0,0,0,45
344,11440,마포구,j,CNG,2,비사업용,6,0,16,0,22
345,11590,동작구,q,수소,2,비사업용,118,0,1,1,120
346,11680,강남구,j,CNG,2,비사업용,7,8,18,0,33
347,11260,중랑구,n,하이브리드(LPG+전기),2,비사업용,26,0,0,0,26
348,11440,마포구,j,CNG,1,사업용,0,125,0,0,125
349,11260,중랑구,n,하이브리드(LPG+전기),1,사업용,6,0,0,0,6
350,11440,마포구,b,경유,2,비사업용,20760,1740,7309,256,30065
351,11260,중랑구,m,하이브리드(경유+전기),2,비사업용,136,0,0,0,136
352,11680,강남구,j,CNG,1,사업용,0,167,0,0,167
353,11440,마포구,b,경유,1,사업용,640,276,2186,437,3539
354,11440,마포구,z,기타연료,2,비사업용,2,46,137,33,218
355,11590,동작구,r,수소전기,2,비사업용,8,0,0,0,8
356,11440,마포구,z,기타연료,1,사업용,0,0,41,0,41
357,11590,동작구,c,엘피지,2,비사업용,3834,297,801,22,4954
358,11440,마포구,q,수소,2,비사업용,179,0,0,0,179
359,11260,중랑구,m,하이브리드(경유+전기),1,사업용,2,0,0,0,2
360,11680,강남구,b,경유,2,비사업용,39948,2875,10931,306,54060
361,11590,동작구,c,엘피지,1,사업용,833,1,196,2,1032
362,11260,중랑구,l,하이브리드(휘발유+전기),2,비사업용,8726,16,51,3,8796
363,11680,강남구,b,경유,1,사업용,429,352,1690,141,2612
364,11590,동작구,e,전기,2,비사업용,2415,3,183,2,2603
365,11260,중랑구,l,하이브리드(휘발유+전기),1,사업용,181,0,3,0,184
366,11680,강남구,z,기타연료,2,비사업용,11,79,350,81,521
367,11590,동작구,e,전기,1,사업용,151,15,98,0,264
368,11440,마포구,q,수소,1,사업용,1,16,0,0,17
369,11260,중랑구,a,휘발유,2,비사업용,15688,13,96,0,15797
370,11680,강남구,z,기타연료,1,사업용,0,0,158,0,158
371,11590,동작구,n,하이브리드(LPG+전기),2,비사업용,26,0,0,0,26
372,11440,마포구,r,수소전기,2,비사업용,15,0,0,0,15
373,11680,강남구,q,수소,2,비사업용,237,0,0,0,237
374,11440,마포구,c,엘피지,2,비사업용,3351,422,890,8,4671
375,11260,중랑구,a,휘발유,1,사업용,11,0,1,0,12
376,11680,강남구,q,수소,1,사업용,16,0,1,0,17
377,11590,동작구,n,하이브리드(LPG+전기),1,사업용,2,0,0,0,2
378,11440,마포구,c,엘피지,1,사업용,1421,7,260,56,1744
379,11260,중랑구,h,휘발유(무연),2,비사업용,37714,16,49,0,37779
380,11590,동작구,m,하이브리드(경유+전기),2,비사업용,185,0,0,0,185
381,11440,마포구,e,전기,2,비사업용,2943,8,511,8,3470
382,11260,중랑구,h,휘발유(무연),1,사업용,328,0,0,0,328
383,11590,동작구,l,하이브리드(휘발유+전기),2,비사업용,11687,17,23,1,11728
384,11440,마포구,e,전기,1,사업용,303,156,154,0,613
385,11260,중랑구,g,휘발유(유연),2,비사업용,40,0,0,0,40
386,11590,동작구,l,하이브리드(휘발유+전기),1,사업용,37,0,1,0,38
387,11680,강남구,r,수소전기,2,비사업용,23,0,0,0,23
388,11290,성북구,j,CNG,2,비사업용,7,8,15,0,30
389,11590,동작구,a,휘발유,2,비사업용,19057,9,60,0,19126
390,11680,강남구,c,엘피지,2,비사업용,4302,654,1361,13,6330
391,11290,성북구,j,CNG,1,사업용,0,628,0,0,628
392,11590,동작구,a,휘발유,1,사업용,12,0,0,0,12
