"시군구명","sum(계)"
종로구,1896
중구,2000
용산구,2674
성동구,4331
광진구,2445
동대문구,3021
중랑구,3158
성북구,3533
강북구,1856
도봉구,2535
노원구,3918
은평구,3656
서대문구,2799
마포구,4083
양천구,3941
강서구,8009
구로구,3621
금천구,2257
영등포구,4323
동작구,2867
관악구,3005
서초구,8665
강남구,15468
송파구,7851
강동구,5653
